iter	Passed	Remaining
0	0	59
1	1	49
2	1	45
3	1	44
4	2	44
5	2	43
6	3	42
7	3	41
8	3	40
9	4	39
10	4	38
11	5	38
12	5	38
13	6	37
14	6	36
15	6	36
16	7	36
17	7	35
18	8	34
19	8	34
20	9	33
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	16	28
36	16	28
37	16	27
38	17	27
39	17	26
40	18	26
41	18	25
42	19	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	21	21
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	28	16
63	28	16
64	29	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	35	8
81	36	7
82	36	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	39	4
90	40	3
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
